id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,municipio
SS-ROM-0001,Lungotevere Aventino,Aventino/Testaccio,verde,1,pista ciclabile presente separata dal traffico,si,4,no,4,I
SS-ROM-0002,Lungotevere dei Mellini,Prati,nero,5,4 corsie veloci nessuna protezione,no,4,no,1,I
SS-ROM-0003,Lungotevere della Vittoria,Prati,nero,5,4 corsie veloci nessuna protezione,no,4,no,1,I
SS-ROM-0004,Lungotevere Marzio,Centro Storico,nero,5,4 corsie veloci nessuna protezione,no,4,no,4,I
SS-ROM-0005,Lungotevere Castello,Prati,nero,5,4 corsie nessuna protezione,no,4,no,2,I
SS-ROM-0006,Lungotevere Tor di Nona,Centro Storico,nero,5,4 corsie veloci nessuna protezione,no,4,no,1,I
SS-ROM-0007,Lungotevere Sanzio,Trastevere,nero,5,4 corsie veloci nessuna protezione,no,4,no,1,I
SS-ROM-0008,Lungotevere Raffaello Sanzio,Trastevere,nero,5,4 corsie veloci nessuna protezione,no,4,no,1,I
SS-ROM-0009,Via dei Fori Imperiali (ciclabile),Centro Storico,verde,1,pista ciclabile separata lungo i fori,si,0,no,4,I
SS-ROM-0010,Viale Trastevere,Trastevere,rosso,4,arteria trafficata 4 corsie nessuna ciclabile,no,4,no,1,I
SS-ROM-0011,Via Nazionale,Esquilino,rosso,4,arteria trafficata 2-4 corsie nessuna ciclabile,no,4,no,4,I
SS-ROM-0012,Via Merulana,Esquilino/Celio,rosso,4,trafficata 2 corsie nessuna ciclabile,no,2,no,4,I
SS-ROM-0013,Corso Vittorio Emanuele II,Centro Storico,rosso,4,arteria principale 4 corsie nessuna ciclabile,no,4,no,3,I
SS-ROM-0014,Via XX Settembre,Castro Pretorio,rosso,4,trafficata 4 corsie nessuna ciclabile,no,4,no,1,I
SS-ROM-0015,Via Cavour,Esquilino,rosso,4,trafficata 4 corsie nessuna ciclabile,no,4,no,3,I
SS-ROM-0016,Via Nomentana (tratto urbano),Nomentano,verde,1,arteria radiale trafficata,si,4,no,2,I
SS-ROM-0017,Via Tiburtina (tratto urbano),Tiburtino,rosso,4,arteria radiale trafficata,no,4,no,1,I
SS-ROM-0018,Via Prenestina (tratto urbano),Prenestino,verde,1,arteria radiale trafficata,si,4,no,1,I
SS-ROM-0019,Via Appia Nuova (tratto urbano),Appio,rosso,4,arteria trafficata nessuna ciclabile,no,4,no,1,I
SS-ROM-0020,Via Cola di Rienzo,Prati,rosso,4,commerciale trafficata 4 corsie,no,4,no,1,I
SS-ROM-0021,Via del Corso,Centro Storico,rosso,4,trafficata ZTL parziale pedonale ore serali,no,2,no,1,I
SS-ROM-0022,Via Veneto,Ludovisi,rosso,4,trafficata 4 corsie nessuna ciclabile,no,4,no,3,I
SS-ROM-0023,Via Sistina,Trevi,rosso,4,trafficata 2 corsie ripida nessuna ciclabile,no,2,no,3,I
SS-ROM-0024,Via Tritone,Trevi,rosso,4,trafficata 4 corsie nessuna ciclabile,no,4,no,1,I
SS-ROM-0025,Via Barberini,Trevi,rosso,4,trafficata 2 corsie nessuna ciclabile,no,2,no,3,I
SS-ROM-0026,Via delle Quattro Fontane,Trevi,rosso,4,trafficata 2 corsie nessuna ciclabile,no,2,no,1,I
SS-ROM-0027,Via Arenula,Centro Storico,rosso,4,arteria 4 corsie nessuna ciclabile,no,4,no,4,I
SS-ROM-0028,Via del Plebiscito,Centro Storico,rosso,4,trafficata nessuna ciclabile,no,4,no,4,I
SS-ROM-0029,Piazza Venezia (confluenza),Centro Storico,rosso,4,hub traffico nessuna protezione ciclisti,no,0,no,4,I
SS-ROM-0030,Via dei Fori Imperiali,Centro Storico,rosso,4,4 corsie rapide chiusa domenica - ciclabile laterale presente,si,4,no,3,I
SS-ROM-0031,Via del Teatro di Marcello,Centro Storico,rosso,4,trafficata curva pericolosa,no,2,no,2,I
SS-ROM-0032,Viale delle Milizie,Prati,rosso,4,4 corsie trafficata nessuna ciclabile,no,4,no,1,I
SS-ROM-0033,Via Candia,Prati,giallo,3,strada urbana senso unico traffico medio,no,2,si,2,I
SS-ROM-0034,Via Crescenzio,Prati,giallo,3,strada urbana 2 corsie traffico contenuto,no,2,no,3,I
SS-ROM-0035,Via Germanico,Prati,giallo,3,senso unico residenziale,no,1,si,2,I
